Name	Status	NCBI_TaxID	ICTV
Retroviral provirus	NCBI_only	35277	.
Marine virus AFVG_250C00666	NCBI_only	2573633	.
Salmo salar paramyxovirus	NCBI_only	232580	.
Shuangao insect virus 11	NCBI_only	1923467	.
Husavirus XZ97_XZ_CHN_2017	NCBI_only	2778251	.
Carollia perspicillata gammaherpesvirus 2	NCBI_only	2737706	.
Carollia perspicillata gammaherpesvirus 1	NCBI_only	2737705	.
Gordonia phage Verity	NCBI_only	2591211	.
Southern tomato virus	Both	591166	2019.v1.4862
Squirrel bocaparvovirus	NCBI_only	2745862	.
Sunn hemp leaf distortion virus	Both	579113	2019.v1.2919
Bovine gammaherpesvirus 4	Both	10385	2019.v1.107
Pleurochrysis sp. endemic virus 1b	NCBI_only	2057945	.
Bovine gammaherpesvirus 6	Both	1504288	2019.v1.92
Vibrio phage 1.195.O._10N.286.54.C8	NCBI_only	1881347	.
Wang Thong virus	NCBI_only	262791	.
Parvovirus USP371-1/Brazil/2009	NCBI_only	984276	.
Salmonella phage Vi II-E1	NCBI_only	424716	.
Vibrio phage 1.082.O._10N.261.49.E4	NCBI_only	1881192	.
Propionibacterium virus PHL117M01	Both	1982290	2019.v1.1858
Alfalfa virus F	NCBI_only	2170538	.
Pontimonas phage phiPsal1	NCBI_only	2079347	.
Cellulophaga phage phi40:1	NCBI_only	1327975	.
Escherichia phage vB_EcoM_P62	NCBI_only	2736495	.
Escherichia phage vB_EcoM_P60	NCBI_only	2736493	.
Escherichia phage vB_EcoM_P66	NCBI_only	2736499	.
Escherichia phage vb_EcoS_bov11C2	NCBI_only	2763525	.
Bat dicistrovirus	NCBI_only	1340808	.
Erwinia phage vB_EamM_Mortimer	NCBI_only	2060129	.
Microbacterium phage Kauala	NCBI_only	2743403	.
Elapid 1 orthobornavirus	Both	1881950	2019.v1.4135
Escherichia phage VpaE1_ev78	NCBI_only	2695838	.
Marine virus AFVG_25M208	NCBI_only	2694354	.
Marine virus AFVG_25M209	NCBI_only	2694355	.
Mycobacterium phage PotatoSplit	NCBI_only	2499052	.
Xylella phage Usme	NCBI_only	2674969	.
Picobirnavirus GI/PBV/Bovine/India/MH/2011 B18	NCBI_only	1307522	.
Marine virus AFVG_25M200	NCBI_only	2694346	.
